start_time,date,sopr_ratio
1672531200000,2023-01-01,0.6048625215784611
1672617600000,2023-01-02,0.7441702752346954
1672704000000,2023-01-03,0.5479159590748
1672790400000,2023-01-04,0.5579429631124736
1672876800000,2023-01-05,0.8194868106351183
1672963200000,2023-01-06,0.5515537857835084
1673049600000,2023-01-07,0.6157605422828629
1673136000000,2023-01-08,0.6087742676129091
1673222400000,2023-01-09,0.5685435530885913
1673308800000,2023-01-10,0.5179651057871981
1673395200000,2023-01-11,0.4536577698886166
1673481600000,2023-01-12,0.6706748102674509
1673568000000,2023-01-13,0.5615456471873681
1673654400000,2023-01-14,0.5792222572254982
1673740800000,2023-01-15,0.5469589797402905
1673827200000,2023-01-16,0.8964029089459274
1673913600000,2023-01-17,0.5582740305027343
1674000000000,2023-01-18,0.621040854502898
1674086400000,2023-01-19,0.5133542994738893
1674172800000,2023-01-20,0.5666253349925564
1674259200000,2023-01-21,0.5910516127200639
1674345600000,2023-01-22,0.7632536516593174
1674432000000,2023-01-23,0.5990340184605727
1674518400000,2023-01-24,0.7122362618232306
1674604800000,2023-01-25,0.7688265504047817
1674691200000,2023-01-26,0.7140883718475882
1674777600000,2023-01-27,0.6346346904383865
1674864000000,2023-01-28,0.8182554916297607
1674950400000,2023-01-29,0.754408271614148
1675036800000,2023-01-30,0.7236198011562465
1675123200000,2023-01-31,0.7350602458098465
1675209600000,2023-02-01,0.659762847022339
1675296000000,2023-02-02,0.6584310485981875
1675382400000,2023-02-03,0.7150191740663225
1675468800000,2023-02-04,0.7696866993140125
1675555200000,2023-02-05,0.7163496186912923
1675641600000,2023-02-06,0.8377188685336534
1675728000000,2023-02-07,0.6524879744263192
1675814400000,2023-02-08,0.939871084353772
1675900800000,2023-02-09,0.742074202371469
1675987200000,2023-02-10,0.9087564013314792
1676073600000,2023-02-11,0.7650364602222178
1676160000000,2023-02-12,0.6350941317611484
1676246400000,2023-02-13,0.7368650951800944
1676332800000,2023-02-14,0.7315246623652463
1676419200000,2023-02-15,0.6880107310342637
1676505600000,2023-02-16,0.8650130800417059
1676592000000,2023-02-17,0.7130363554665975
1676678400000,2023-02-18,0.7344029613956722
1676764800000,2023-02-19,0.9602465220499204
1676851200000,2023-02-20,0.8031430969632516
1676937600000,2023-02-21,0.7826011288177241
1677024000000,2023-02-22,0.6516561971040017
1677110400000,2023-02-23,0.9192151653099128
1677196800000,2023-02-24,0.6972675256686057
1677283200000,2023-02-25,0.6552533968053905
1677369600000,2023-02-26,0.8626402754884674
1677456000000,2023-02-27,0.9223047853546456
1677542400000,2023-02-28,0.6281247695061846
1677628800000,2023-03-01,0.6913978715418201
1677715200000,2023-03-02,0.7056067373973852
1677801600000,2023-03-03,0.917184826960349
1677888000000,2023-03-04,1.1359968214729852
1677974400000,2023-03-05,0.6311877747680257
1678060800000,2023-03-06,0.7973723046766821
1678147200000,2023-03-07,0.5241193615452222
1678233600000,2023-03-08,0.868682633736032
1678320000000,2023-03-09,0.7914560123115516
1678406400000,2023-03-10,0.8266094875703182
1678492800000,2023-03-11,0.8846649734521359
1678579200000,2023-03-12,0.7089536039624716
1678665600000,2023-03-13,0.9583613805996032
1678752000000,2023-03-14,0.9307526335831832
1678838400000,2023-03-15,0.926134470783172
1678924800000,2023-03-16,1.0039212816658196
1679011200000,2023-03-17,0.7658441773791782
1679097600000,2023-03-18,1.1128496495312008
1679184000000,2023-03-19,0.9475880963077123
1679270400000,2023-03-20,0.9219913241491766
1679356800000,2023-03-21,1.0895133478420798
1679443200000,2023-03-22,0.989729619540796
1679529600000,2023-03-23,1.0952035561022602
1679616000000,2023-03-24,1.0774487587762187
1679702400000,2023-03-25,1.0248973499228844
1679788800000,2023-03-26,1.1111088635730515
1679875200000,2023-03-27,0.8612997992783822
1679961600000,2023-03-28,1.0523971502874876
1680048000000,2023-03-29,0.8816567516409268
1680134400000,2023-03-30,0.4458829100575226
1680220800000,2023-03-31,1.211205389563495
1680307200000,2023-04-01,1.175579926571616
1680393600000,2023-04-02,1.1504700100136984
1680480000000,2023-04-03,1.2648320733475693
1680566400000,2023-04-04,0.8414831586885143
1680652800000,2023-04-05,0.8519587406008281
1680739200000,2023-04-06,0.7342776329830115
1680825600000,2023-04-07,0.807532885924352
1680912000000,2023-04-08,1.1038709678124885
1680998400000,2023-04-09,1.062078282388735
1681084800000,2023-04-10,0.8874145086085845
1681171200000,2023-04-11,0.9098654686186716
1681257600000,2023-04-12,0.8320411821991648
1681344000000,2023-04-13,1.0472243623608577
1681430400000,2023-04-14,1.1466962225554571
1681516800000,2023-04-15,0.9932964072520096
1681603200000,2023-04-16,1.053319986918922
1681689600000,2023-04-17,0.9025869048555972
1681776000000,2023-04-18,1.2144281482959416
1681862400000,2023-04-19,2.3318579964903785
1681948800000,2023-04-20,1.205613151169466
1682035200000,2023-04-21,1.1227163354362566
1682121600000,2023-04-22,1.0985057091630182
1682208000000,2023-04-23,1.216439434279538
1682294400000,2023-04-24,1.1827247471773137
1682380800000,2023-04-25,1.034590652490638
1682467200000,2023-04-26,1.1707459044405482
1682553600000,2023-04-27,1.087187558624755
1682640000000,2023-04-28,1.3423237001362434
1682726400000,2023-04-29,1.4582049677722473
1682812800000,2023-04-30,0.9940032246948606
1682899200000,2023-05-01,1.033229218546455
1682985600000,2023-05-02,1.1584834255458956
1683072000000,2023-05-03,1.0458563071978952
1683158400000,2023-05-04,1.169211264045261
1683244800000,2023-05-05,1.0337694493202088
1683331200000,2023-05-06,1.0941902231128178
1683417600000,2023-05-07,1.694801294233231
