timestamp,btc_inter-entity-flows_miner-to-exchange_date,btc_inter-entity-flows_miner-to-exchange_flow_mean,btc_inter-entity-flows_miner-to-exchange_flow_total,btc_inter-entity-flows_miner-to-exchange_transactions_count_flow,btc_exchange-flows_inflow_date,btc_exchange-flows_inflow_inflow_mean,btc_exchange-flows_inflow_inflow_mean_ma7,btc_exchange-flows_inflow_inflow_top10,btc_exchange-flows_inflow_inflow_total,btc_exchange-flows_outflow_date,btc_exchange-flows_outflow_outflow_mean,btc_exchange-flows_outflow_outflow_mean_ma7,btc_exchange-flows_outflow_outflow_top10,btc_exchange-flows_outflow_outflow_total,btc_flow-indicator_exchange-whale-ratio_date,btc_flow-indicator_exchange-whale-ratio_exchange_whale_ratio,btc_flow-indicator_fund-flow-ratio_date,btc_flow-indicator_fund-flow-ratio_fund_flow_ratio,btc_flow-indicator_stablecoins-ratio_date,btc_flow-indicator_stablecoins-ratio_stablecoins_ratio,btc_flow-indicator_stablecoins-ratio_stablecoins_ratio_usd,btc_market-indicator_mvrv_date,btc_market-indicator_mvrv_mvrv,btc_market-indicator_sopr-ratio_date,btc_market-indicator_sopr-ratio_sopr_ratio,coinglass_futures_openInterest_ohlc-history_c,coinglass_futures_openInterest_ohlc-history_h,coinglass_futures_openInterest_ohlc-history_l,coinglass_futures_openInterest_ohlc-history_o,coinglass_futures_openInterest_ohlc-history_t,coinglass_futures_fundingRate_ohlc-history_c,coinglass_futures_fundingRate_ohlc-history_h,coinglass_futures_fundingRate_ohlc-history_l,coinglass_futures_fundingRate_ohlc-history_o,coinglass_futures_fundingRate_ohlc-history_t,coinglass_futures_liquidation_v2_history_longLiquidationUsd,coinglass_futures_liquidation_v2_history_shortLiquidationUsd,coinglass_futures_liquidation_v2_history_t,coinglass_price_ohlc-history_c,coinglass_price_ohlc-history_h,coinglass_price_ohlc-history_l,coinglass_price_ohlc-history_o,coinglass_price_ohlc-history_t,coinglass_price_ohlc-history_v,data_source
1970-01-01 00:27:52.610400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16594.4,16605.4,16579.1,16597.6,1672610400,60289616.8169,REAL
1970-01-01 00:27:52.614000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16610.3,16617.4,16594.4,16594.4,1672614000,83692900.4417,REAL
1970-01-01 00:27:52.617600,2023-01-02,1.00597883,7.04185182,7,2023-01-02,0.39617999,0.46622884,1243.43669265,7808.31149949,2023-01-02,6.50190135,7.03822129,2608.45350415,7724.25880647,2023-01-02,0.15924527,2023-01-02,0.02263748,2023-01-02,2.496e-05,0.41642967,2023-01-02,0.84415281,2023-01-02,0.7441702752346954,105155.14,108882,105155.14,108854.59,1672617600,0.01,0.01,-0.004679,-0.001488,1672617600,364504.39332,1462672.2698,1672617600,16578,16618.4,16572.9,16610.4,1672617600,95811324.3103,REAL
1970-01-01 00:27:52.621200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16556.5,16579.3,16541.2,16578,1672621200,157820331.2135,REAL
1970-01-01 00:27:52.624800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16580.4,16587.1,16547.5,16556.5,1672624800,54553046.5086,REAL
1970-01-01 00:27:52.628400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16654.6,16700.7,16575,16580.4,1672628400,300438253.7872,REAL
1970-01-01 00:27:52.632000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16631.8,16665,16621.8,16654.7,1672632000,136543333.3622,REAL
1970-01-01 00:27:52.635600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16640,16653.8,16612.8,16631.8,1672635600,114468548.0027,REAL
1970-01-01 00:27:52.639200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16632.4,16654.8,16627.8,16640.1,1672639200,67889389.1128,REAL
1970-01-01 00:27:52.642800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16712.5,16767.8,16630.8,16632.5,1672642800,571190053.5756,REAL
1970-01-01 00:27:52.646400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16724.5,16764,16701,16712.6,1672646400,252120809.8847,REAL
1970-01-01 00:27:52.650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16710,16735.9,16705.1,16724.6,1672650000,124193608.1889,REAL
1970-01-01 00:27:52.653600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16720.2,16759.8,16703.2,16710,1672653600,138498893.187,REAL
1970-01-01 00:27:52.657200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16728.5,16734,16696,16720.1,1672657200,113250826.9707,REAL
1970-01-01 00:27:52.660800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16713.2,16736.1,16713,16728.4,1672660800,78248923.2632,REAL
1970-01-01 00:27:52.664400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16687.8,16716.5,16674.3,16713.2,1672664400,167731254.9427,REAL
1970-01-01 00:27:52.668000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16694.8,16702.5,16665,16687.7,1672668000,149107842.7157,REAL
1970-01-01 00:27:52.671600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16729.2,16744.8,16688.4,16694.7,1672671600,203826476.5429,REAL
1970-01-01 00:27:52.675200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16704.1,16732.9,16704,16729.2,1672675200,109495870.2904,REAL
1970-01-01 00:27:52.678800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16710.1,16716.5,16702.6,16704.1,1672678800,68756317.93,REAL
1970-01-01 00:27:52.682400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16718.3,16725.8,16703.9,16710,1672682400,53293242.1732,REAL
1970-01-01 00:27:52.686000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16730.5,16732.1,16711.1,16718.3,1672686000,45109236.6566,REAL
1970-01-01 00:27:52.689600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16722.8,16732,16702.7,16730.5,1672689600,64133889.6068,REAL
1970-01-01 00:27:52.693200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16751.9,16799,16715,16722.7,1672693200,152566109.0622,REAL
1970-01-01 00:27:52.696800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16694.6,16755.7,16685.1,16751.9,1672696800,179274047.0588,REAL
1970-01-01 00:27:52.700400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16666,16717.4,16650,16694.7,1672700400,192845723.7581,REAL
1970-01-01 00:27:52.704000,2023-01-03,0.88771019,7.98939172,9,2023-01-03,0.36939118,0.43087179,1803.94986961,8678.47644851,2023-01-03,9.52272068,7.30181484,5078.54124934,11322.51489219,2023-01-03,0.20786481,2023-01-03,0.02422163,2023-01-03,2.479e-05,0.41346483,2023-01-03,0.84440218,2023-01-03,0.5479159590748,105095.11,108286.83,105046.4,105155.14,1672704000,0.006478,0.01,0.002922,0.01,1672704000,656198.0279,372521.02364,1672704000,16689.1,16699.7,16639.5,16665.9,1672704000,149294774.8259,REAL
1970-01-01 00:27:52.707600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16670.5,16689.1,16645.5,16689,1672707600,105337309.9633,REAL
1970-01-01 00:27:52.711200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16666.5,16680,16665.2,16670.4,1672711200,49603015.2198,REAL
1970-01-01 00:27:52.714800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16684.5,16694,16661.5,16666.5,1672714800,63403651.4116,REAL
